rank	word	occurrences (ppm)	lemma forms
3912.	suceda	17	suceder
3913.	mentes	17	mente
3914.	maldad	17	maldad
3915.	gustará	17	gustar
3916.	eliminar	17	eliminar
3917.	corbata	17	corbata
3918.	atrapados	17	atrapado atrapar
3919.	sabíamos	17	saber
3920.	merezco	17	merecer
3921.	medalla	17	medalla
3922.	lograste	17	lograr
3923.	jaula	17	jaula
3924.	dió	17	dar
3925.	chofer	17	chofer
3926.	informado	17	informado informar
3927.	fatal	17	fatal
3928.	enfadado	17	enfadado enfadar
3929.	cubierto	17	cubierto cubrir
3930.	compañera	17	compañera
3931.	ronda	17	ronda rondar
3932.	cobra	17	cobra cobrar
3933.	cantante	17	cantante
3934.	abrazo	17	abrazo abrazar
3935.	tarjetas	17	tarjeta
3936.	sentarme	17	sentar
3937.	refería	17	referir
3938.	indica	17	indicar
3939.	gravedad	17	gravedad
3940.	ganando	17	ganar
3941.	estúpidos	17	estúpido
3942.	elecciones	17	elección
3943.	collar	17	collar
3944.	cincuenta	17	cincuenta
3945.	programas	17	programa
3946.	naturalmente	17	naturalmente
3947.	embajada	17	embajada
3948.	desayunar	17	desayunar
3949.	dejaría	17	dejar
