"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
ne	n°	nə	ne	ADV	ADV	""	""	""	10469.953	10475.304	17693.877	99.58512	1	2	2	1	1.6	CV	CVV	19	18	0	0	n°	1	CV	2	3	""	"0-0-0"	""			734.0454545	0.007837024	0.083333333
que	k°	kə	que	CON	ADV,PRO:int,CON,PRO:rel	""	""	""	9744.364	14272.911	13632.206	99.74280	1	3	2	1	1.6	CVV	CVV	18	113	3	3	k°	1	CV	3	3	""	"0-1-0"	/que			674	-0.191474237	0
j'	Z	ʒ	j'	PRO:per	PRO:per	""	s	""	9259.354	9259.354	35592.509	99.34476	1	2	1	1.45	1	C'	C	10	37	0	1	Z	1	C	2	1	""	""	""					
ça	sa	sa	ça	PRO:dem	PRO:dem	""	s	""	8446.718	8471.000	8458.785	98.29608	1	2	2	1.95	1	VCV	CV	1	31	0	5	sa	1	CV	3	1	cela	"0-1-0"	/c(el)a			612.4583333	-0.45595659	0.04
on	§	ɔ̃	on	PRO:per	NOM,PRO:per	""	s	""	8250.566	8253.085	8523.301	99.23148	1	2	1	1	1	VC	VV	16	0	1	5	§	1	V	2	1	on	"0-1-0"	/on			675.1304348	-0.073132682	0.04
une	yn	yn	une	ART:ind	ADJ:num,NOM,PRO:ind,ART:ind	f	s	""	8200.772	8425.756	24523.364	99.70453	1	3	2	1	1	VCV	VC	9	20	3	6	yn	1	VC	3	2	un	"0-1-1"	/un.e			588.7916667	-0.820005372	0.04
d'	d	d	d'	PRE	PRE,NOM	""	""	""	7741.263	7741.307	34097.073	99.60502	1	2	1	1.15	1	C'	C	16	113	1	4	d	1	C	2	1	""	"0-0-0"	""					
pour	puR	puʁ	pour	PRE	NOM,PRE	""	""	""	7716.873	7746.687	7717.560	99.63258	1	4	3	1.2	1	CVVC	CVC	13	95	1	2	puR	1	CVC	4	3	pour	"0-1-0"	/pour	95	24	716.25	-0.178472401	0
l'	l	l	l'	ART:def	ART:def,NOM,PRO:per	""	""	""	7646.744	11161.256	43109.440	99.66167	1	2	1	1.2	1	C'	C	15	151	2	6	l	1	C	2	1	le	"0-1-0"	/l(e)					
n'	n	n	ne	ADV	ADV	""	""	""	7190.028	7190.035	17693.877	99.38304	0	2	1	1.15	1	C'	C	16	113	0	2	n	1	C	0	0	""	"0-0-0"	""					
a	a	a	avoir	AUX	NOM,AUX,VER	""	s	ind:pre:3	6777.323	11684.443	19741.582	99.73362	0	1	1	1	1	V	V	25	37	2	9	a	1	V	1	1	""	"0-0-0"	""	93	16			
en	@	ɑ̃	en	PRE	PRO:per,PRE	""	""	""	5839.000	9065.551	5839.646	99.73515	1	2	1	1	1	VC	V	13	37	1	5	@	1	V	2	1	en	"0-1-0"	/en			725.9193548	-0.010399499	0.086956522
ai	E	ɛ	avoir	AUX	VER,AUX,NOM	""	s	ind:pre:1	5199.114	7626.703	19741.582	99.38916	0	2	1	1	1	VV	V	30	37	2	21	E	1	V	2	1	""	""	""	93	16	735.6	0.151870586	0.36
